
:diversos
antigo,história,novo,futuro|porvir
velho,antigo,jovem,novo
memória,experiência,expectativa,horizonte|futuro|porvir
médico,saúde,professor,educação
peixe,água,pássaro,ar
sapato,pé,luva,mão
pintor,tela,escultor,mármore|argila|pedra|madeira|matéria-prima
poesia,verso,prosa,narrativa
pobreza,escassez,riqueza,abundância
guerra,conflito,paz,harmonia|tranquilidade|ordem
rei,trono,bispo,altar
juiz,justiça,criminoso,crime
escritor,livro,cineasta,filme
cabeça,chapéu,pé,meia|sapato|tênis
carro,rodovia,barco,rio|mar|lagoa|água|oceano
carro,rua,barco,rio|mar|lagoa|água|oceano
futebol,chuteira,tênis,raquete
chave,porta,senha,login
relógio,tempo,bússola,direção
presidente,palácio,rei,castelo|palácio
escola,aprendizado,trabalho,experiência
avião,céu,submarino,mar
riqueza,dinheiro,obesidade,comida
jogador,quadra,piloto,pista
carro,via,barco,mar
bicicleta,duas,carro,quatro
fortuna,rico,miséria,pobre
teto,cima,chão,baixo
forro,dentro,teto,fora
criança,pequeno,adulto,grande
criança,novo,idoso,velho
água,líquido,gelo,sólido
gás,gasoso,ferro,sólido
ônibus,público,carro,particular
eua,astronauta,rússia,cosmonauta
thompson,história_vista_de_baixo,braudel,longa_duração
thompson,vista_de_baixo,braudel,tempo

:verbos
livro,ler,música,ouvir
água,nadar,terra,caminhar
correr,rápido,andar,devagar
voz,cantar,mão,escrever
cozinhar,forno,refrigerar,geladeira|refrigerador
escritor,escrever,cantor,cantar
cair,baixo,pular,cima
leitor,ler,pintor,pintar
entrar,entrada,sair,saída
limpar,limpo,sujar,sujo
congelar,gelo,derreter,fogo

:profissões e ações
professor,ensinar,jogador,jogar
professor,ensinar,descobridor,descobrir
professor,ensinar,explorador,explorar
professor,ensinar,nadador,nadar
professor,ensinar,programador,programar
professor,ensinar,andarilho,andar
professor,ensinar,inventor,inventar
professor,ensinar,escritor,escrever
professor,ensinar,pensador,pensar
professor,ensinar,leitor,ler
professor,ensinar,corredor,correr
professor,ensinar,dançarino,dançar
professor,ensinar,guerreiro,guerrear|lutar
professor,ensinar,lutador,lutar
professor,ensinar,rei,reinar|ordenar|mandar|delegar
pesquisador,pesquisar,professor,ensinar
pesquisador,pesquisar,nadador,nadar
pesquisador,pesquisar,leitor,ler
pesquisador,pesquisar,pensador,pensar
pesquisador,pesquisar,escritor,escrever
pesquisador,pesquisar,pintor,pintar
pesquisador,pesquisar,inventor,inventar
pesquisador,pesquisar,programador,programar
pesquisador,pesquisar,jogador,jogar
pesquisador,pesquisar,descobridor,descobrir
pesquisador,pesquisar,explorador,explorar
pesquisador,pesquisar,lutador,lutar
historiador,pesquisador,inventor,inventar
historiador,pesquisador,jogador,jogar
historiador,pesquisador,explorador,explorar
historiador,pesquisador,descobridor,descobrir
historiador,pesquisador,programador,programar
historiador,pesquisador,pintor,pintar
historiador,pesquisador,leitor,ler
historiador,pesquisador,professor,ensinar
biólogo,pesquisador,professor,ensinar
biólogo,pesquisador,leitor,ler
biólogo,pesquisador,nadador,nadar
biólogo,pesquisador,corredor,correr
biólogo,pesquisador,descobridor,descobrir
biólogo,pesquisador,explorador,explorar
biólogo,pesquisador,pensador,pensar
biólogo,pesquisador,escritor,escrever
biólogo,pesquisador,vendedor,vender
filósofo,pesquisador,vendedor,vender
filósofo,pesquisador,escritor,escrever
filósofo,pesquisador,pensador,pensar
filósofo,pesquisador,explorador,explorar
filósofo,pesquisador,descobridor,descobrir
filósofo,pesquisador,corredor,correr
filósofo,pesquisador,nadador,nadar
filósofo,pesquisador,leitor,ler
filósofo,pesquisador,professor,ensinar
filósofo,pesquisador,médico,medicar
filósofo,pesquisador,programador,programar
filósofo,pesquisador,jogador,jogar
professora,ensinar,jogadora,jogar
professora,ensinar,descobridora,descobrir
professora,ensinar,exploradora,explorar
professora,ensinar,nadadora,nadar
professora,ensinar,programadora,programar
professora,ensinar,andarilha,andar
professora,ensinar,inventora,inventar
professora,ensinar,escritora,escrever
professora,ensinar,pensadora,pensar
professora,ensinar,leitora,ler
professora,ensinar,corredora,correr
professora,ensinar,dançarina,dançar
professora,ensinar,guerreira,guerrear|lutar
professora,ensinar,rainha,reinar
pesquisadora,pesquisar,professora,ensinar
pesquisadora,pesquisar,nadadora,nadar
pesquisadora,pesquisar,leitora,ler
pesquisadora,pesquisar,pensadora,pensar
pesquisadora,pesquisar,escritora,escrever
pesquisadora,pesquisar,pintora,pintar
pesquisadora,pesquisar,inventora,inventar
pesquisadora,pesquisar,programadora,programar
pesquisadora,pesquisar,jogadora,jogar
pesquisadora,pesquisar,descobridora,descobrir
pesquisadora,pesquisar,exploradora,explorar
pesquisadora,pesquisar,lutadora,lutar
historiadora,pesquisadora,inventora,inventar
historiadora,pesquisadora,jogadora,jogar
historiadora,pesquisadora,exploradora,explorar
historiadora,pesquisadora,descobridora,descobrir
historiadora,pesquisadora,programadora,programar
historiadora,pesquisadora,pintora,pintar
historiadora,pesquisadora,leitora,ler
historiadora,pesquisador,professor,ensinar
bióloga,pesquisadora,professora,ensinar
bióloga,pesquisadora,leitora,ler
bióloga,pesquisadora,nadadora,nadar
bióloga,pesquisadora,corredora,correr
bióloga,pesquisadora,descobridora,descobrir
bióloga,pesquisadora,exploradora,explorar
bióloga,pesquisadora,pensadora,pensar
bióloga,pesquisadora,escritora,escrever
bióloga,pesquisadora,vendedora,vender
filósofa,pesquisadora,vendedora,vender
filósofa,pesquisadora,escritora,escrever
filósofa,pesquisadora,pensadora,pensar
filósofa,pesquisadora,exploradora,explorar
filósofa,pesquisadora,descobridora,descobrir
filósofa,pesquisadora,corredora,correr
filósofa,pesquisadora,nadadora,nadar
filósofa,pesquisadora,leitora,ler
filósofa,pesquisadora,professora,ensinar
filósofa,pesquisadora,programadora,programar
filósofa,pesquisadora,jogadora,jogar
professoras,ensinar,jogadoras,jogar
professoras,ensinar,descobridoras,descobrir
professoras,ensinar,exploradoras,explorar
professoras,ensinar,nadadoras,nadar
professoras,ensinar,programadoras,programar
professoras,ensinar,andarilhas,andar
professoras,ensinar,inventoras,inventar
professoras,ensinar,escritoras,escrever
professoras,ensinar,pensadoras,pensar
professoras,ensinar,leitoras,ler
professoras,ensinar,corredoras,correr
professoras,ensinar,dançarinas,dançar
professoras,ensinar,guerreiras,guerrear|lutar
professoras,ensinar,rainhas,reinar
pesquisadoras,pesquisar,professoras,ensinar
pesquisadoras,pesquisar,nadadoras,nadar
pesquisadoras,pesquisar,leitoras,ler
pesquisadoras,pesquisar,pensadoras,pensar
pesquisadoras,pesquisar,escritoras,escrever
pesquisadoras,pesquisar,pintoras,pintar
pesquisadoras,pesquisar,inventoras,inventar
pesquisadoras,pesquisar,programadoras,programar
pesquisadoras,pesquisar,jogadoras,jogar
pesquisadoras,pesquisar,descobridoras,descobrir
pesquisadoras,pesquisar,exploradoras,explorar
pesquisadoras,pesquisar,lutadoras,lutar
historiadoras,pesquisadoras,inventoras,inventar
historiadoras,pesquisadoras,jogadoras,jogar
historiadoras,pesquisadoras,exploradoras,explorar
historiadoras,pesquisadoras,descobridoras,descobrir
historiadoras,pesquisadoras,programadoras,programar
historiadoras,pesquisadoras,pintoras,pintar
historiadoras,pesquisadoras,leitoras,ler
historiadoras,pesquisadoras,professoras,ensinar
biólogas,pesquisadoras,professoras,ensinar
biólogas,pesquisadoras,leitoras,ler
biólogas,pesquisadoras,nadadoras,nadar
biólogas,pesquisadoras,corredoras,correr
biólogas,pesquisadoras,descobridoras,descobrir
biólogas,pesquisadoras,exploradoras,explorar
biólogas,pesquisadoras,pensadoras,pensar
biólogas,pesquisadoras,escritoras,escrever
biólogas,pesquisadoras,vendedoras,vender
filósofas,pesquisadoras,vendedoras,vender
filósofas,pesquisadoras,escritoras,escrever
filósofas,pesquisadoras,pensadoras,pensar
filósofas,pesquisadoras,exploradoras,explorar
filósofas,pesquisadoras,descobridoras,descobrir
filósofas,pesquisadoras,corredoras,correr
filósofas,pesquisadoras,nadadoras,nadar
filósofas,pesquisadoras,leitoras,ler
filósofas,pesquisadoras,professoras,ensinar
filósofas,pesquisadoras,programadoras,programar
filósofas,pesquisadoras,jogadoras,jogar
programador,programar,vendedor,vender
programador,programar,professor,ensinar
programador,programar,piloto,pilotar
programador,programar,ator,atuar
programador,programar,atendente,atender
programador,programar,garimpeiro,garimpar
programador,programar,educador,educar
programador,programar,sociólogo,pesquisador
programador,programar,farmacêutico,pesquisador
programadora,programar,vendedora,vender
