
:diversos
velho,antigo,jovem,novo
médico,saúde,professor,educação
peixe,água,pássaro,ar
sapato,pé,luva,mão
poesia,verso,prosa,narrativa
pobreza,escassez,riqueza,abundância
guerra,conflito,paz,harmonia|tranquilidade|ordem
rei,trono,bispo,altar
juiz,justiça,criminoso,crime
escritor,livro,cineasta,filme
cabeça,chapéu,pé,meia|sapato|tênis
carro,rodovia,barco,rio|mar|lagoa|água|oceano
carro,rua,barco,rio|mar|lagoa|água|oceano
futebol,chuteira,tênis,raquete
chave,porta,senha,login
relógio,tempo,bússola,direção
presidente,palácio,rei,castelo|palácio
avião,céu,submarino,mar
riqueza,dinheiro,obesidade,comida
bicicleta,duas,carro,quatro
fortuna,rico,miséria,pobre
teto,cima,chão,baixo
criança,pequeno,adulto,grande
criança,novo,idoso,velho
água,líquido,gelo,sólido
ônibus,público,carro,particular

:verbos
livro,ler,música,ouvir
água,nadar,terra,caminhar
correr,rápido,andar,devagar
voz,cantar,mão,escrever
cozinhar,forno,refrigerar,geladeira|refrigerador
escritor,escrever,cantor,cantar
cair,baixo,pular,cima
leitor,ler,pintor,pintar
entrar,entrada,sair,saída
limpar,limpo,sujar,sujo
congelar,gelo,derreter,fogo

:profissões e ações
professor,ensinar,jogador,jogar
professor,ensinar,descobridor,descobrir
professor,ensinar,explorador,explorar
professor,ensinar,nadador,nadar
professor,ensinar,programador,programar
professor,ensinar,andarilho,andar
professor,ensinar,inventor,inventar
professor,ensinar,escritor,escrever
professor,ensinar,pensador,pensar
professor,ensinar,leitor,ler
professor,ensinar,corredor,correr
professor,ensinar,dançarino,dançar
professor,ensinar,guerreiro,guerrear|lutar
professor,ensinar,lutador,lutar
professor,ensinar,rei,reinar|ordenar|mandar|delegar
pesquisador,pesquisar,professor,ensinar
pesquisador,pesquisar,nadador,nadar
pesquisador,pesquisar,leitor,ler
pesquisador,pesquisar,pensador,pensar
pesquisador,pesquisar,escritor,escrever
pesquisador,pesquisar,pintor,pintar
pesquisador,pesquisar,inventor,inventar
pesquisador,pesquisar,programador,programar
pesquisador,pesquisar,jogador,jogar
pesquisador,pesquisar,descobridor,descobrir
pesquisador,pesquisar,explorador,explorar
pesquisador,pesquisar,lutador,lutar
historiador,pesquisador,inventor,inventar
historiador,pesquisador,jogador,jogar
historiador,pesquisador,explorador,explorar
historiador,pesquisador,descobridor,descobrir
historiador,pesquisador,programador,programar
historiador,pesquisador,pintor,pintar
historiador,pesquisador,leitor,ler
historiador,pesquisador,professor,ensinar
biólogo,pesquisador,professor,ensinar
biólogo,pesquisador,leitor,ler
biólogo,pesquisador,nadador,nadar
biólogo,pesquisador,corredor,correr
biólogo,pesquisador,descobridor,descobrir
biólogo,pesquisador,explorador,explorar
biólogo,pesquisador,pensador,pensar
biólogo,pesquisador,escritor,escrever
biólogo,pesquisador,vendedor,vender
filósofo,pesquisador,vendedor,vender
filósofo,pesquisador,escritor,escrever
filósofo,pesquisador,pensador,pensar
filósofo,pesquisador,explorador,explorar
filósofo,pesquisador,descobridor,descobrir
filósofo,pesquisador,corredor,correr
filósofo,pesquisador,nadador,nadar
filósofo,pesquisador,leitor,ler
filósofo,pesquisador,professor,ensinar
filósofo,pesquisador,médico,medicar
filósofo,pesquisador,programador,programar
filósofo,pesquisador,jogador,jogar
programador,programar,vendedor,vender
programador,programar,professor,ensinar
programador,programar,piloto,pilotar
programador,programar,ator,atuar
programador,programar,atendente,atender
programador,programar,garimpeiro,garimpar
programador,programar,educador,educar
programador,programar,sociólogo,pesquisador
programador,programar,farmacêutico,pesquisador
sociólogo,pesquisador,vendedor,vender
sociólogo,pesquisador,professor,ensinar
sociólogo,pesquisador,piloto,pilotar
sociólogo,pesquisador,ator,atuar
sociólogo,pesquisador,atendente,atender
sociólogo,pesquisador,garimpeiro,garimpar
sociólogo,pesquisador,educador,educar
pensador,pensar,desaparecido,desaparecer
pensador,pensar,andarilho,andar
pensador,pensar,escritor,escrever
pensador,pensar,programador,programar
pensador,pensar,dançarino,dançar
pensador,pensar,guerreiro,guerrear|lutar
pensador,pensar,lutador,lutar
pensador,pensar,inventor,inventar
pensador,pensar,jogador,jogar
pensador,pensar,leitor,ler
pensador,pensar,descobridor,descobrir
pensador,pensar,rei,reinar|ordenar|mandar|delegar
escritor,escrever,corredor,correr
escritor,escrever,leitor,ler
escritor,escrever,programador,programar
escritor,escrever,inventor,inventar
escritor,escrever,jogador,jogar
escritor,escrever,andarilho,andar
escritor,escrever,guerreiro,guerrear|lutar
escritor,escrever,lutador,lutar
escritor,escrever,nadador,nadar
escritor,escrever,dançarino,dançar
escritor,escrever,descobridor,descobrir
escritor,escrever,rei,reinar|ordenar|mandar|delegar

:nacionalidade e país
brasileiro,brasil,colombiano,colômbia
brasileiro,brasil,americano,américa
brasileiro,brasil,argentino,argentina
brasileiro,brasil,paraguaio,paraguai
brasileiro,brasil,chileno,chile
brasileiro,brasil,norueguês,noruega
brasileiro,brasil,dinamarquês,dinamarca
brasileiro,brasil,belga,bélgica
brasileiro,brasil,australiano,austrália
brasileiro,brasil,uruguaio,uruguai
brasileiro,brasil,mexicano,méxico
brasileiro,brasil,europeu,europa
brasileiro,brasil,alemão,alemanha
brasileiro,brasil,suéco,suécia
brasileiro,brasil,suíço,suíça
brasileiro,brasil,francês,frança
brasileiro,brasil,espanhol,espanha
brasileiro,brasil,holandês,holanda

:pessoas e países
lula,brasil,macron,frança
lula,brasil,emmanuel_macron,frança
lula,brasil,putin,russia
lula,brasil,trump,eua|usa|estados_unidos_da_américa
lula,brasil,biden,eua|usa|estados_unidos_da_américa
lula,brasil,joe_biden,eua|usa|estados_unidos_da_américa
lula,brasil,donald_trump,eua|usa|estados_unidos_da_américa
lula,brasil,coreia_do_norte,kim_jong-un|kim_jong_un
lula,brasil,china,xi_jinping
mario_quintana,brasil,pablo_neruda,chile
shakespeare,inglaterra,homero,grécia
marx,socialismo,adam_smith,liberalismo
aristóteles,grécia,voltaire,frança
michel_focault,frança,arthur_schopenhauer,alemanha

:lugares e atributos
reino_unido,metrópole,índia,colônia
reino_unido,metrópole,estados_unidos,colônia
reino_unido,metrópole,jamaica,colônia
reino_unido,metrópole,nigéria,colônia
reino_unido,metrópole,serra_leoa,colônia
reino_unido,metrópole,gana,colônia
reino_unido,metrópole,malta,colônia
portugal,metrópole,angola,colônia
portugal,metrópole,barbados,colônia
portugal,metrópole,açores,colônia
portugal,metrópole,cabo_verde,colônia
portugal,metrópole,são_tomé,colônia
portugal,metrópole,moçambique,colônia
portugal,metrópole,brasil,colônia
frança,metrópole,senegal,colônia
frança,metrópole,camarões,colônia
frança,metrópole,costa_do_marfim,colônia
frança,metrópole,marrocos,colônia
frança,metrópole,tunísia,colônia
frança,metrópole,guiné,colônia
frança,metrópole,haiti,colônia
império_espanhol,metrópole,méxico,colônia
império_espanhol,metrópole,guatemala,colônia
império_espanhol,metrópole,costa_rica,colônia
império_espanhol,metrópole,peru,colônia
império_espanhol,metrópole,bolívia,colônia
império_espanhol,metrópole,equador,colônia

:capitais e países
atenas,grécia,pequim,china
atenas,grécia,berlim,alemanha
atenas,grécia,cairo,egito
atenas,grécia,havana,cuba
atenas,grécia,londres,inglaterra
atenas,grécia,madrid,espanha
atenas,grécia,moscovo,rússia
atenas,grécia,paris,frança
atenas,grécia,roma,itália
atenas,grécia,tóquio,japão
brasília,brasil,lisboa,portugal
brasília,brasil,londres,reino_unido
brasília,brasil,madri,itália
brasília,brasil,paris,frança
brasília,brasil,atenas,grécia
brasília,brasil,washington_dc,eua|usa|estados_unidos_da_américa
brasília,brasil,cidade_do_méxico,méxico
brasíia,brasil,berlim,alemanha
brasília,brasil,pequim,china
brasília,brasil,tóquio,japão
brasília,brasil,luxemburgo,luxemburgo
lisboa,portugal,madrid,espanha
ottawa,canadá,canberra,austrália
cairo,egito,nairobi,quênia
tóquio,japão,seul,coreia_do_sul
londres,reino_unido,paris,frança
moscou,rússia,kiev,ucrânia
havana,cuba,kingston,jamaica
pequim,china,nova_délhi,índia
roma,itália,berlim,alemanha
atenas,grécia,ancara,turquia
cidade_do_méxico,méxico,lima,peru
estocolmo,suécia,oslo,noruega
viena,áustria,praga,república_tcheca
santiago,chile,bogotá,colômbia
bangkok,tailândia,hanói,vietnã
reykjavik,islândia,helsinki,finlândia
beirute,líbano,amã,jordânia
dacar,senegal,lagos,nigéria
kuala_lumpur,malásia,jacarta,indonésia
varsóvia,polônia,budapeste,hungria
rabat,marrocos,túnis,tunísia
bruxelas,bélgica,amsterdã,holanda
daca,bangladesh,katmandu,nepal
wellington,nova_zelândia,suva,fiji
atenas,grécia,bagdade,iraque
atenas,grécia,banguecoque,tailândia
atenas,grécia,berna,suíça
atenas,grécia,camberra,austrália
atenas,grécia,hanói,vietname
atenas,grécia,helsínquia,finlândia
atenas,grécia,islamabade,paquistão
atenas,grécia,cábul,afeganistão
atenas,grécia,oslo,noruega
atenas,grécia,ottawa,canadá
atenas,grécia,estocolmo,suécia
atenas,grécia,teerão,irão

:capital e estado
santa_catarina,florianópolis,rio_grande_do_sul,porto_alegre|poa
santa_catarina,florianópolis,paraná,curitiba
santa_catarina,florianópolis,são_paulo,são_paulo|sp
santa_catarina,florianópolis,rio_de_janeiro,rio_de_janeiro|rj
santa_catarina,florianópolis,espírito_santo,vitória
santa_catarina,florianópolis,pará,belém
santa_catarina,florianópolis,minas_gerais,belo_horizonte|bh
santa_catarina,florianópolis,rondônia,porto_velho|pv
santa_catarina,florianópolis,pernambuco,recife
santa_catarina,florianópolis,mato_grosso,cuiabá
santa_catarina,florianópolis,mato_grosso_do_sul,campo_grande|cg
santa_catarina,florianópolis,maranhão,são_luís|sl
santa_catarina,florianópolis,roraima,boa_vista|bv
santa_catarina,florianópolis,acre,rio_branco|rb
santa_catarina,florianópolis,bahia,salvador
santa_catarina,florianópolis,paraíba,joão_pessoa|jp
santa_catarina,florianópolis,amazonas,manaus
santa_catarina,florianópolis,rio_grande_do_norte,natal
santa_catarina,florianópolis,alagoas,maceió
santa_catarina,florianópolis,tocantins,palmas
santa_catarina,florianópolis,sergipe,aracaju
santa_catarina,florianópolis,ceará,fortaleza
santa_catarina,florianópolis,amapá,macapá
santa_catarina,florianópolis,piauí,teresina
santa_catarina,florianópolis,goiás,goiânia

:universidade e localidade
ufsc,santa_catarina,unicamp,campinas
ufsc,santa_catarina,usp,são_paulo|sp
ufsc,santa_catarina,unesp,são_paulo|sp
ufsc,santa_catarina,ufmg,minas_gerais|mg
ufsc,santa_catarina,puc-rio,rio_de_janeiro|rj
ufsc,santa_catarina,unb,brasília
ufsc,santa_catarina,unifesp,são_paulo|sp
ufsc,santa_catarina,ufscar,são_carlos
ufsc,santa_catarina,puc-sp,são_paulo|sp
ufsc,santa_catarina,ufsm,santa_maria|sm
